condition	seed	description_prompt_variant	answer_prompt_variant	answer_mode	answer_include_image	n	accuracy	bias_aligned_fraction	bias_aligned_error_rate	error_rate
direct_original_image_again_seed0	0	direct	original	image_again	True	400	0.130000	0.387500	0.445402	0.870000
direct_original_description_only_seed0	0	direct	original	description_only	False	400	0.125000	0.160000	0.182857	0.875000
original_original_image_again_seed0	0	original	original	image_again	True	400	0.110000	0.420000	0.471910	0.890000
original_original_description_only_seed0	0	original	original	description_only	False	400	0.160000	0.197500	0.235119	0.840000
counterfactual_original_image_again_seed0	0	counterfactual	original	image_again	True	400	0.105000	0.425000	0.474860	0.895000
counterfactual_original_description_only_seed0	0	counterfactual	original	description_only	False	400	0.157500	0.200000	0.237389	0.842500
structured_original_image_again_seed0	0	structured	original	image_again	True	400	0.102500	0.412500	0.459610	0.897500
structured_original_description_only_seed0	0	structured	original	description_only	False	400	0.140000	0.185000	0.215116	0.860000
verification_original_image_again_seed0	0	verification	original	image_again	True	400	0.137500	0.407500	0.472464	0.862500
verification_original_description_only_seed0	0	verification	original	description_only	False	400	0.155000	0.350000	0.414201	0.845000
direct_original_image_again_seed1	1	direct	original	image_again	True	400	0.127500	0.412500	0.472779	0.872500
direct_original_description_only_seed1	1	direct	original	description_only	False	400	0.115000	0.160000	0.180791	0.885000
original_original_image_again_seed1	1	original	original	image_again	True	400	0.145000	0.432500	0.505848	0.855000
original_original_description_only_seed1	1	original	original	description_only	False	400	0.145000	0.190000	0.222222	0.855000
counterfactual_original_image_again_seed1	1	counterfactual	original	image_again	True	400	0.142500	0.437500	0.510204	0.857500
counterfactual_original_description_only_seed1	1	counterfactual	original	description_only	False	400	0.140000	0.192500	0.223837	0.860000
structured_original_image_again_seed1	1	structured	original	image_again	True	400	0.132500	0.417500	0.481268	0.867500
structured_original_description_only_seed1	1	structured	original	description_only	False	400	0.140000	0.190000	0.220930	0.860000
verification_original_image_again_seed1	1	verification	original	image_again	True	400	0.127500	0.435000	0.498567	0.872500
verification_original_description_only_seed1	1	verification	original	description_only	False	400	0.137500	0.360000	0.417391	0.862500
direct_original_image_again_seed2	2	direct	original	image_again	True	400	0.140000	0.385000	0.447674	0.860000
direct_original_description_only_seed2	2	direct	original	description_only	False	400	0.127500	0.145000	0.166189	0.872500
original_original_image_again_seed2	2	original	original	image_again	True	400	0.140000	0.427500	0.497093	0.860000
original_original_description_only_seed2	2	original	original	description_only	False	400	0.152500	0.185000	0.218289	0.847500
counterfactual_original_image_again_seed2	2	counterfactual	original	image_again	True	400	0.152500	0.422500	0.498525	0.847500
counterfactual_original_description_only_seed2	2	counterfactual	original	description_only	False	400	0.157500	0.185000	0.219585	0.842500
structured_original_image_again_seed2	2	structured	original	image_again	True	400	0.127500	0.425000	0.487106	0.872500
structured_original_description_only_seed2	2	structured	original	description_only	False	400	0.150000	0.177500	0.208824	0.850000
verification_original_image_again_seed2	2	verification	original	image_again	True	400	0.137500	0.417500	0.484058	0.862500
verification_original_description_only_seed2	2	verification	original	description_only	False	400	0.145000	0.362500	0.423977	0.855000
direct_original_image_again_seed3	3	direct	original	image_again	True	400	0.127500	0.390000	0.446991	0.872500
direct_original_description_only_seed3	3	direct	original	description_only	False	400	0.157500	0.162500	0.192878	0.842500
original_original_image_again_seed3	3	original	original	image_again	True	400	0.150000	0.432500	0.508824	0.850000
original_original_description_only_seed3	3	original	original	description_only	False	400	0.162500	0.170000	0.202985	0.837500
counterfactual_original_image_again_seed3	3	counterfactual	original	image_again	True	400	0.147500	0.412500	0.483871	0.852500
counterfactual_original_description_only_seed3	3	counterfactual	original	description_only	False	400	0.162500	0.175000	0.208955	0.837500
structured_original_image_again_seed3	3	structured	original	image_again	True	400	0.147500	0.402500	0.472141	0.852500
structured_original_description_only_seed3	3	structured	original	description_only	False	400	0.167500	0.165000	0.198198	0.832500
verification_original_image_again_seed3	3	verification	original	image_again	True	400	0.132500	0.410000	0.472622	0.867500
verification_original_description_only_seed3	3	verification	original	description_only	False	400	0.112500	0.352500	0.397183	0.887500
direct_original_image_again_seed4	4	direct	original	image_again	True	400	0.142500	0.377500	0.440233	0.857500
direct_original_description_only_seed4	4	direct	original	description_only	False	400	0.145000	0.127500	0.149123	0.855000
original_original_image_again_seed4	4	original	original	image_again	True	400	0.145000	0.405000	0.473684	0.855000
original_original_description_only_seed4	4	original	original	description_only	False	400	0.147500	0.192500	0.225806	0.852500
counterfactual_original_image_again_seed4	4	counterfactual	original	image_again	True	400	0.137500	0.420000	0.486957	0.862500
counterfactual_original_description_only_seed4	4	counterfactual	original	description_only	False	400	0.142500	0.200000	0.233236	0.857500
structured_original_image_again_seed4	4	structured	original	image_again	True	400	0.135000	0.390000	0.450867	0.865000
structured_original_description_only_seed4	4	structured	original	description_only	False	400	0.145000	0.182500	0.213450	0.855000
verification_original_image_again_seed4	4	verification	original	image_again	True	400	0.140000	0.435000	0.505814	0.860000
verification_original_description_only_seed4	4	verification	original	description_only	False	400	0.142500	0.382500	0.446064	0.857500
